iter	Passed	Remaining
0	5	3721
1	10	3719
2	17	4118
3	25	4445
4	32	4513
5	39	4533
6	47	4703
7	54	4695
8	61	4691
9	68	4722
10	76	4761
11	83	4809
12	91	4836
13	98	4847
14	106	4876
15	113	4871
16	120	4855
17	128	4859
18	134	4830
19	142	4841
20	149	4829
21	156	4816
22	163	4811
23	170	4790
24	177	4779
25	183	4755
26	190	4745
27	197	4739
28	204	4729
29	211	4724
30	217	4702
31	225	4698
32	231	4688
33	238	4678
34	245	4666
35	252	4655
36	259	4655
37	266	4648
38	274	4653
39	281	4639
40	288	4633
41	295	4621
42	302	4627
43	309	4619
44	316	4610
45	324	4607
46	330	4594
47	338	4591
48	345	4583
49	351	4570
50	358	4564
51	365	4552
52	372	4544
53	379	4541
54	386	4531
55	394	4536
56	401	4530
57	408	4520
58	415	4511
59	422	4503
60	429	4494
61	435	4484
62	442	4477
63	450	4476
64	457	4469
65	464	4461
66	471	4458
67	479	4459
68	487	4462
69	495	4456
70	504	4467
71	511	4461
72	519	4459
73	526	4455
74	534	4456
75	542	4456
76	549	4449
77	557	4446
78	564	4441
79	572	4438
80	581	4446
81	589	4442
82	596	4432
83	603	4428
84	610	4420
85	618	4413
86	625	4405
87	631	4393
88	639	4392
89	646	4385
90	656	4390
91	662	4380
92	670	4376
93	677	4368
94	685	4365
95	692	4357
96	699	4350
97	706	4342
98	714	4334
99	722	4332
100	728	4322
101	736	4315
102	743	4307
103	750	4299
104	757	4292
105	766	4292
106	773	4285
107	781	4282
108	788	4275
109	795	4268
110	803	4264
111	810	4254
112	818	4251
113	825	4242
114	832	4235
115	839	4227
116	846	4219
117	854	4212
118	860	4201
119	868	4199
120	875	4190
121	882	4182
122	889	4172
123	896	4163
124	903	4156
125	910	4146
126	917	4141
127	924	4132
128	933	4130
129	939	4119
130	946	4112
131	954	4105
132	961	4097
133	968	4089
134	974	4080
135	983	4076
136	990	4068
137	997	4064
138	1005	4056
139	1013	4052
140	1020	4045
141	1027	4037
142	1034	4030
143	1041	4022
144	1048	4014
145	1055	4005
146	1062	3997
147	1069	3989
148	1078	3989
149	1086	3982
150	1093	3974
151	1100	3967
152	1107	3958
153	1114	3952
154	1121	3943
155	1129	3938
156	1135	3928
157	1142	3920
158	1150	3914
159	1157	3905
160	1164	3897
161	1172	3892
162	1179	3886
163	1186	3878
164	1193	3870
165	1201	3863
166	1207	3855
167	1215	3848
168	1221	3839
169	1229	3833
170	1236	3824
171	1243	3818
172	1250	3810
173	1257	3802
174	1265	3795
175	1272	3788
176	1279	3781
177	1288	3778
178	1297	3776
179	1304	3769
180	1313	3767
181	1321	3759
182	1329	3757
183	1336	3748
184	1344	3743
185	1351	3735
186	1359	3730
187	1367	3723
188	1376	3721
189	1383	3714
190	1391	3707
191	1399	3702
192	1406	3695
193	1414	3690
194	1422	3685
195	1430	3677
196	1437	3669
197	1444	3662
198	1452	3657
199	1460	3651
200	1467	3642
201	1474	3635
202	1481	3626
203	1488	3619
204	1496	3613
205	1506	3613
206	1518	3616
207	1530	3621
208	1544	3627
209	1551	3620
210	1561	3619
211	1572	3619
212	1579	3611
213	1587	3605
214	1595	3598
215	1605	3596
216	1612	3588
217	1619	3579
218	1626	3572
219	1633	3564
220	1641	3557
221	1648	3548
222	1656	3542
223	1663	3534
224	1670	3526
225	1677	3518
226	1684	3510
227	1692	3504
228	1699	3495
229	1706	3487
230	1713	3479
231	1723	3477
232	1731	3470
233	1739	3464
234	1746	3456
235	1754	3448
236	1761	3440
237	1769	3434
238	1776	3427
239	1783	3418
240	1792	3413
241	1802	3410
242	1813	3411
243	1824	3409
244	1831	3401
245	1839	3395
246	1846	3387
247	1857	3385
248	1864	3377
249	1873	3371
250	1880	3364
251	1888	3357
252	1895	3349
253	1903	3342
254	1911	3335
255	1919	3329
256	1926	3321
257	1934	3314
258	1942	3306
259	1950	3300
260	1957	3292
261	1966	3286
262	1973	3279
263	1981	3272
264	1990	3268
265	1999	3261
266	2006	3254
267	2014	3246
268	2022	3240
269	2033	3238
270	2041	3232
271	2049	3225
272	2057	3217
273	2065	3211
274	2073	3204
275	2083	3201
276	2094	3197
277	2104	3194
278	2113	3189
279	2122	3183
280	2130	3176
281	2137	3168
282	2145	3161
283	2153	3154
284	2160	3146
285	2169	3140
286	2177	3132
287	2185	3125
288	2192	3117
289	2200	3111
290	2208	3103
291	2215	3095
292	2222	3087
293	2230	3080
294	2237	3072
295	2246	3065
296	2253	3057
297	2260	3049
298	2268	3042
299	2275	3033
300	2285	3029
301	2292	3020
302	2300	3014
303	2308	3006
304	2316	3000
305	2323	2992
306	2331	2984
307	2338	2976
308	2347	2970
309	2354	2962
310	2362	2955
311	2369	2946
312	2378	2940
313	2385	2932
314	2393	2924
315	2400	2916
316	2407	2908
317	2415	2901
318	2422	2893
319	2429	2885
320	2437	2877
321	2445	2870
322	2452	2862
323	2461	2856
324	2468	2848
325	2475	2840
326	2483	2833
327	2490	2825
328	2499	2818
329	2506	2810
330	2517	2806
331	2526	2800
332	2534	2793
333	2542	2785
334	2549	2777
335	2556	2769
336	2565	2763
337	2572	2755
338	2580	2748
339	2587	2739
340	2597	2734
341	2604	2726
342	2612	2719
343	2619	2711
344	2628	2704
345	2635	2696
346	2645	2691
347	2652	2683
348	2661	2676
349	2668	2668
350	2676	2661
351	2683	2653
352	2691	2646
353	2699	2638
354	2707	2631
355	2716	2624
356	2725	2618
357	2734	2612
358	2743	2605
359	2756	2602
360	2766	2597
361	2775	2591
362	2783	2584
363	2792	2577
364	2801	2570
365	2809	2563
366	2817	2556
367	2825	2549
368	2833	2541
369	2842	2535
370	2855	2531
371	2864	2526
372	2876	2521
373	2885	2515
374	2895	2509
375	2915	2512
376	2928	2508
377	2939	2504
378	2948	2497
379	2958	2490
380	2965	2482
381	2973	2475
382	2980	2467
383	2988	2459
384	2997	2452
385	3005	2444
386	3012	2436
387	3021	2429
388	3028	2421
389	3037	2414
390	3044	2406
391	3054	2399
392	3062	2392
393	3071	2385
394	3079	2377
395	3087	2369
396	3098	2364
397	3108	2358
398	3115	2350
399	3124	2343
400	3131	2335
401	3139	2327
402	3146	2319
403	3154	2311
404	3161	2303
405	3170	2295
406	3177	2287
407	3186	2280
408	3193	2272
409	3202	2264
410	3209	2257
411	3218	2249
412	3225	2241
413	3232	2233
414	3240	2225
415	3248	2217
416	3256	2209
417	3263	2201
418	3272	2194
419	3280	2187
420	3289	2179
421	3296	2171
422	3306	2165
423	3313	2156
424	3321	2149
425	3328	2141
426	3337	2133
